n_basis,N,energy,n_fock,coupling
20,1,-5.47013756815225,36100,-5.0
20,2,-4.353465390261298,36100,-5.0
20,3,-3.270593225307388,36100,-5.0
20,4,-3.1860508598260493,36100,-5.0
20,5,-2.190912111807958,36100,-5.0
20,1,-4.202286760547874,36100,-4.5
20,2,-3.110930124452615,36100,-4.5
20,3,-2.045517070718335,36100,-4.5
20,4,-1.952601862950208,36100,-4.5
20,5,-0.9821950298959532,36100,-4.5
20,1,-2.9920837428381333,36100,-4.0
20,2,-1.9228352059946743,36100,-4.0
20,3,-0.872787438891571,36100,-4.0
20,4,-0.7725659365678984,36100,-4.0
20,5,0.1760479569333013,36100,-4.0
20,1,-1.845375532531143,36100,-3.5
20,2,-0.7949608273792832,36100,-3.5
20,3,0.2418790637788768,36100,-3.5
20,4,0.34770517853224764,36100,-3.5
20,5,1.2781514478453573,36100,-3.5
20,1,-0.7681664256883323,36100,-3.0
20,2,0.26669680458661293,36100,-3.0
20,3,1.2925083693976762,36100,-3.0
20,4,1.4013652460452406,36100,-3.0
20,5,2.0884056622221387,36100,-3.0
20,1,0.23374032109506074,36100,-2.5
20,2,1.2562676970310038,36100,-2.5
20,3,2.2732067697870266,36100,-2.5
20,4,2.381288111777967,36100,-2.5
20,5,2.659192718240224,36100,-2.5
20,1,1.1552894918053387,36100,-2.0
20,2,2.168537371515886,36100,-2.0
20,3,3.178681390560604,36100,-2.0
20,4,3.198620178442132,36100,-2.0
20,5,3.2805218607672213,36100,-2.0
20,1,1.9928732142892476,36100,-1.5
20,2,2.999632484667974,36100,-1.5
20,3,3.70433588966784,36100,-1.5
20,4,4.0049169992391365,36100,-1.5
20,5,4.093144064826993,36100,-1.5
20,1,2.7450263076976076,36100,-1.0
20,2,3.747717616282102,36100,-1.0
20,3,4.174195116754469,36100,-1.0
20,4,4.749870892326677,36100,-1.0
20,5,4.815705899047129,36100,-1.0
20,1,3.412857668553056,36100,-0.5
20,2,4.413453939769407,36100,-0.5
20,3,4.606456491736371,36100,-0.5
20,4,5.413942844167297,36100,-0.5
20,5,5.449153058872,36100,-0.5
20,1,3.999999999999958,36100,0.0
20,2,4.999999999999979,36100,0.0
20,3,5.000000000000053,36100,0.0
20,4,5.999999999999951,36100,0.0
20,5,5.999999999999997,36100,0.0
20,1,4.512086067755007,36100,0.5
20,2,5.354526720368033,36100,0.5
20,3,5.512543504286812,36100,0.5
20,4,6.300639403000983,36100,0.5
20,5,6.354796839463555,36100,0.5
20,1,4.9559935907348285,36100,1.0
20,2,5.67068705298396,36100,1.0
20,3,5.957584442754905,36100,1.0
20,4,6.556018926871593,36100,1.0
20,5,6.6643127790354155,36100,1.0
20,1,5.339136798009955,36100,1.5
20,2,5.9500908042316585,36100,1.5
20,3,6.342240654274221,36100,1.5
20,4,6.770088133740611,36100,1.5
20,5,6.900959038396086,36100,1.5
20,1,5.668942827772588,36100,2.0
20,2,6.19518332339779,36100,2.0
20,3,6.67372127646075,36100,2.0
20,4,6.94801572097643,36100,2.0
20,5,7.0866412264619445,36100,2.0
20,1,5.952510239886593,36100,2.5
20,2,6.4090146796045655,36100,2.5
20,3,6.95897483551687,36100,2.5
20,4,7.095395408331928,36100,2.5
20,5,7.232446250425769,36100,2.5
20,1,6.196397516426229,36100,3.0
20,2,6.594960476328095,36100,3.0
20,3,7.204465047750439,36100,3.0
20,4,7.217586144887065,36100,3.0
20,5,7.347909379479496,36100,3.0
20,1,6.406501201240815,36100,3.5
20,2,6.756457399827467,36100,3.5
20,3,7.319321570095231,36100,3.5
20,4,7.416035950359173,36100,3.5
20,5,7.440482747715605,36100,3.5
20,1,6.588002716070506,36100,4.0
20,2,6.896796979181254,36100,4.0
20,3,7.404567737061964,36100,4.0
20,4,7.515734956707848,36100,4.0
20,5,7.598846507641853,36100,4.0
20,1,6.745369943712931,36100,4.5
20,2,7.018993078961114,36100,4.5
20,3,7.476541038489988,36100,4.5
20,4,7.577756705734666,36100,4.5
20,5,7.757361746805152,36100,4.5
20,1,6.882398936697379,36100,5.0
20,2,7.125716697241255,36100,5.0
20,3,7.53780246164313,36100,5.0
20,4,7.629547481510063,36100,5.0
20,5,7.840348569156587,36100,5.0
20,1,7.002280275823703,36100,5.5
20,2,7.219280991597069,36100,5.5
20,3,7.590373611550078,36100,5.5
20,4,7.673320497645304,36100,5.5
20,5,7.859468201716037,36100,5.5
20,1,7.107676407344877,36100,6.0
20,2,7.301658055153367,36100,6.0
20,3,7.635846844497165,36100,6.0
20,4,7.710725847382407,36100,6.0
20,5,7.875737066373989,36100,6.0
20,1,7.200799899365331,36100,6.5
20,2,7.374512385863458,36100,6.5
20,3,7.675478910307211,36100,6.5
20,4,7.7430089051763895,36100,6.5
20,5,7.889731218680126,36100,6.5
20,1,7.283486411498228,36100,7.0
20,2,7.43924068868187,36100,7.0
20,3,7.710266248436417,36100,7.0
20,4,7.771121693142044,36100,7.0
20,5,7.901885261373158,36100,7.0
20,1,7.357259297402826,36100,7.5
20,2,7.497011775095723,36100,7.5
20,3,7.741003768916925,36100,7.5
20,4,7.795801266022115,36100,7.5
20,5,7.912532175330923,36100,7.5
20,1,7.423384885145333,36100,8.0
20,2,7.548803302179326,36100,8.0
20,3,7.768330056438182,36100,8.0
20,4,7.8176252554788,36100,8.0
20,5,7.921930744684645,36100,8.0
20,1,7.482918728312527,36100,8.5
20,2,7.595433988969059,36100,8.5
20,3,7.792761911297918,36100,8.5
20,4,7.837051611143717,36100,8.5
20,5,7.930284744348707,36100,8.5
20,1,7.53674374046602,36100,9.0
20,2,7.63759103623171,36100,9.0
20,3,7.8147207127519085,36100,9.0
20,4,7.854447350628633,36100,9.0
20,5,7.937756576077563,36100,9.0
20,1,7.585601351333404,36100,9.5
20,2,7.67585303415831,36100,9.5
20,3,7.834552584386437,36100,9.5
20,4,7.870109600403019,36100,9.5
20,5,7.94447710576705,36100,9.5
20,1,7.63011682884453,36100,10.0
20,2,7.710708883363067,36100,10.0
20,3,7.852543883762805,36100,10.0
20,4,7.884281174373876,36100,10.0
20,5,7.9505528618281165,36100,10.0
20,1,7.670819809432275,36100,10.5
20,2,7.742573319601908,36100,10.5
20,3,7.8689331657003185,36100,10.5
20,4,7.897162239758729,36100,10.5
20,5,7.956071373387567,36100,10.5
20,1,7.708160936291181,36100,11.0
20,2,7.771799608919423,36100,11.0
20,3,7.8839204794575615,36100,11.0
20,4,7.908919148916574,36100,11.0
20,5,7.961105178852739,36100,11.0
20,1,7.742525357195294,36100,11.5
20,2,7.798689917475669,36100,11.5
20,3,7.897674641721165,36100,11.5
20,4,7.919691195700087,36100,11.5
20,5,7.965714871428947,36100,11.5
20,1,7.774243697116511,36100,12.0
20,2,7.823503786100333,36100,12.0
20,3,7.910338964630918,36100,12.0
20,4,7.92959583546412,36100,12.0
20,5,7.969951438371016,36100,12.0
20,1,7.8036010029007645,36100,12.5
20,2,7.84646506709532,36100,12.5
20,3,7.922035797612928,36100,12.5
20,4,7.938732756004197,36100,12.5
20,5,7.9738580761959,36100,12.5
20,1,7.830844058796058,36100,13.0
20,2,7.867767615868545,36100,13.0
20,3,7.932870152747091,36100,13.0
20,4,7.947187080534761,36100,13.0
20,5,7.977471612798084,36100,13.0
20,1,7.856187391287466,36100,13.5
20,2,7.8875799745151545,36100,13.5
20,3,7.942932617497415,36100,13.5
20,4,7.9550319088436385,36100,13.5
20,5,7.980823631708144,36100,13.5
20,1,7.879818217037547,36100,14.0
20,2,7.9060492383327565,36100,14.0
20,3,7.952301709709768,36100,14.0
20,4,7.962330349263028,36100,14.0
20,5,7.983941368643915,36100,14.0
20,1,7.901900536152007,36100,14.5
20,2,7.923304258394257,36100,14.5
20,3,7.961045793311722,36100,14.5
20,4,7.969137155562024,36100,14.5
20,5,7.986848432860855,36100,14.5
20,1,7.922578532033446,36100,15.0
20,2,7.9394583019492,36100,15.0
20,3,7.969224645823746,36100,15.0
20,4,7.975500054828331,36100,15.0
20,5,7.989565393898801,36100,15.0
20,1,7.94197940663102,36100,15.5
20,2,7.954611264211512,36100,15.5
20,3,7.976890748203197,36100,15.5
20,4,7.981460831861991,36100,15.5
20,5,7.992110268805603,36100,15.5
20,1,7.960215754036732,36100,16.0
20,2,7.968851486917148,36100,16.0
20,3,7.98409035194182,36100,16.0
20,4,7.987056220544543,36100,16.0
20,5,7.994498956728796,36100,16.0
20,1,7.977387553512835,36100,16.5
20,2,7.982257083348176,36100,16.5
20,3,7.99086436645238,36100,16.5
20,4,7.992318642816637,36100,16.5
20,5,7.996745802817259,36100,16.5
20,1,7.993583804057777,36100,17.0
20,2,7.994893304717085,36100,17.0
20,3,7.997249100658353,36100,17.0
20,4,7.997276870182058,36100,17.0
20,5,7.998867821950139,36100,17.0
20,1,7.999999999998769,36100,17.5
20,2,8.000849814718606,36100,17.5
20,3,8.001956133066097,36100,17.5
20,4,8.003276885672003,36100,17.5
20,5,8.006848768126483,36100,17.5
20,1,7.999999999998833,36100,18.0
20,2,8.002740428298793,36100,18.0
20,3,8.006379602148279,36100,18.0
20,4,8.008976599991962,36100,18.0
20,5,8.018140535983362,36100,18.0
20,1,7.99999999999949,36100,18.5
20,2,8.004527647685657,36100,18.5
20,3,8.010567428316298,36100,18.5
20,4,8.014374114396762,36100,18.5
20,5,8.028839595894913,36100,18.5
20,1,7.99999999999995,36100,19.0
20,2,8.006221546297766,36100,19.0
20,3,8.014537895792435,36100,19.0
20,4,8.019492670367537,36100,19.0
20,5,8.038988940138879,36100,19.0
20,1,8.000000000000028,36100,19.5
20,2,8.007829459515408,36100,19.5
20,3,8.0183074397072,36100,19.5
20,4,8.024353203249099,36100,19.5
20,5,8.048629104116108,36100,19.5
20,1,7.99999999999994,36100,20.0
20,2,8.009357819183652,36100,20.0
20,3,8.021890884035125,36100,20.0
20,4,8.028974619255955,36100,20.0
20,5,8.057796944621279,36100,20.0
