n_basis,N,energy,n_fock
12,1,7.244580297870287,2640
12,2,7.601542302263332,2640
12,3,7.862485056489304,2640
12,4,7.999999999999986,2640
12,5,8.268784067677602,2640
14,1,7.201143972874987,5096
14,2,7.579267165917737,5096
14,3,7.854904526559809,5096
14,4,8.000000000000005,5096
14,5,8.219402660678117,5096
16,1,7.169471361371455,8960
16,2,7.562228270057001,8960
16,3,7.849001783382168,8960
16,4,8.000000000000023,8960
16,5,8.183705789649629,8960
18,1,7.145149900865076,14688
18,2,7.548746797540366,14688
18,3,7.844256337071666,14688
18,4,8.0,14688
18,5,8.156651375594025,14688
20,1,7.125716697241272,22800
20,2,7.5378024616431745,22800
20,3,7.840348569156638,22800
20,4,8.00000000000001,22800
20,5,8.135308729089738,22800
22,1,7.109719323763745,33880
22,2,7.528717850580631,33880
22,3,7.837068490194784,33880
22,4,7.999999999999989,33880
22,5,8.117923682677489,33880
24,1,7.09624861180778,48576
24,2,7.5210311328910135,48576
24,3,7.834270740937927,48576
24,4,8.000000000000053,48576
24,5,8.103404436709274,48576
