n_basis,N,energy,n_fock,coupling
14,1,1.4250500156652506,5096,0.0
14,2,1.47036960505127,5096,0.0
14,3,1.5459022540279739,5096,0.0
14,4,1.6516479625953782,5096,0.0
14,5,1.787606730753441,5096,0.0
14,6,1.9537785585021934,5096,0.0
14,7,2.1300217586001966,5096,0.0
14,1,1.5407791423050208,5096,0.25
14,2,1.5852740398884886,5096,0.25
14,3,1.6589234209564807,5096,0.25
14,4,1.7470523165070677,5096,0.25
14,5,1.8860223696077543,5096,0.25
14,6,2.0522769653592294,5096,0.25
14,7,2.2442338959124384,5096,0.25
14,1,1.639107295243802,5096,0.5
14,2,1.6808768930199185,5096,0.5
14,3,1.748496673845693,5096,0.5
14,4,1.8216721984323059,5096,0.5
14,5,1.9710122320263064,5096,0.5
14,6,2.136314344195183,5096,0.5
14,7,2.330566858665946,5096,0.5
14,1,1.721837927246914,5096,0.75
14,2,1.7586622217932038,5096,0.75
14,3,1.8171428452478795,5096,0.75
14,4,1.880560692155091,5096,0.75
14,5,2.0470907278557116,5096,0.75
14,6,2.2083530180947424,5096,0.75
14,7,2.3923320744296053,5096,0.75
14,1,1.7906699963444852,5096,1.0
14,2,1.8202880816773708,5096,1.0
14,3,1.869458089595657,5096,1.0
14,4,1.9287743910736541,5096,1.0
14,5,2.1160860813856615,5096,1.0
14,6,2.269640266653569,5096,1.0
14,7,2.4378852622368807,5096,1.0
14,1,1.846892456397822,5096,1.25
14,2,1.8677843161487224,5096,1.25
14,3,1.9107355798692545,5096,1.25
14,4,1.9700970755487934,5096,1.25
14,5,2.1782744457880203,5096,1.25
14,6,2.321322810618515,5096,1.25
14,7,2.4719457443033077,5096,1.25
14,1,1.8912272027103074,5096,1.5
14,2,1.9037519034009043,5096,1.5
14,3,1.9457959537783662,5096,1.5
14,4,2.006564065610154,5096,1.5
14,5,2.2337229489298407,5096,1.5
14,6,2.364730585632058,5096,1.5
14,7,2.4981132206842256,5096,1.5
14,1,1.9244977424888123,5096,1.75
14,2,1.931036299040778,5096,1.75
14,3,1.978028060334271,5096,1.75
14,4,2.0389099176756864,5096,1.75
14,5,2.2827591497189994,5096,1.75
14,6,2.401237134134275,5096,1.75
14,7,2.518775596515707,5096,1.75
14,1,1.948852404103788,5096,2.0
14,2,1.9521078783195216,5096,2.0
14,3,2.0083892989327725,5096,2.0
14,4,2.067403015179249,5096,2.0
14,5,2.325937345726865,5096,2.0
14,6,2.4320916079955333,5096,2.0
14,7,2.5354963259600143,5096,2.0
14,1,1.9671081016731367,5096,2.25
14,2,1.9687803937326378,5096,2.25
14,3,2.036357360730477,5096,2.25
14,4,2.092324430579204,5096,2.25
14,5,2.3639087813822015,5096,2.25
14,6,2.458341883132848,5096,2.25
14,7,2.5493190010796165,5096,2.25
14,1,1.9813759086641656,5096,2.5
14,2,1.9822881820777565,5096,2.5
14,3,2.0615382275192893,5096,2.5
14,4,2.114047601226733,5096,2.5
14,5,2.3973265189847885,5096,2.5
14,6,2.480830337948719,5096,2.5
14,7,2.5609596478756584,5096,2.5
14,1,1.992930692475476,5096,2.75
14,2,1.9934601191111343,5096,2.75
14,3,2.08396090800761,5096,2.75
14,4,2.1329839424985333,5096,2.75
14,5,2.4267949613114355,5096,2.75
14,6,2.500222189302845,5096,2.75
14,7,2.5709240132767324,5096,2.75
14,1,2.0025371034140993,5096,3.0
14,2,2.0028618772589044,5096,3.0
14,3,2.103864761935132,5096,3.0
14,4,2.1495305148960533,5096,3.0
14,5,2.4528491154216345,5096,3.0
14,6,2.517041090561329,5096,3.0
14,7,2.5795797538632956,5096,3.0
14,1,2.0106806941581006,5096,3.25
14,2,2.010889710473548,5096,3.25
14,3,2.121547181232257,5096,3.25
14,4,2.1640435603710237,5096,3.25
14,5,2.475950161989524,5096,3.25
14,6,2.531701340843643,5096,3.25
14,7,2.5872019218523654,5096,3.25
14,1,2.0176886973110335,5096,3.5
14,2,2.017828865370338,5096,3.5
14,3,2.1372985153678803,5096,3.5
14,4,2.1768304180524476,5096,3.5
14,5,2.4964888552239204,5096,3.5
14,6,2.544533862837748,5096,3.5
14,7,2.5940024955158334,5096,3.5
14,1,2.0237925425789274,5096,3.75
14,2,2.0238899238423587,5096,3.75
14,3,2.1513795953067376,5096,3.75
14,4,2.188150820659914,5096,3.75
14,5,2.5147920147799576,5096,3.75
14,6,2.555806187509228,5096,3.75
14,7,2.600150223771553,5096,3.75
14,1,2.0291621133854076,5096,4.0
14,2,2.0292318610363456,5096,4.0
14,3,2.1640167011833684,5096,4.0
14,4,2.198222043558873,5096,4.0
14,5,2.5311296547517568,5096,4.0
14,6,2.565737531784962,5096,4.0
14,7,2.6057844836528767,5096,4.0
14,1,2.033925777531408,5096,4.25
14,2,2.0339770603521665,5096,4.25
14,3,2.1754031503506663,5096,4.25
14,4,2.2072251010680746,5096,4.25
14,5,2.545721628122072,5096,4.25
14,6,2.574510069258409,5096,4.25
14,7,2.611025320438707,5096,4.25
14,1,2.0381827933585073,5096,4.5
14,2,2.0382213561677727,5096,4.5
14,3,2.185703076545196,5096,4.5
14,4,2.2153107279936495,5096,4.5
14,5,2.558743516132025,5096,4.5
14,6,2.5822772859244765,5096,4.5
14,7,2.61598081408217,5096,4.5
14,1,2.042011368189123,5096,4.75
14,2,2.0420409228074785,5096,4.75
14,3,2.195055620932702,5096,4.75
14,4,2.2226046632847996,5096,4.75
14,5,2.5703322140318567,5096,4.75
14,6,2.589170105965425,5096,4.75
14,7,2.6207520337593935,5096,4.75
14,1,2.0454740994026066,5096,5.0
14,2,2.0454971103663366,5096,5.0
14,3,2.2035788543631876,5096,5.0
14,4,2.2292121182386126,5096,5.0
14,5,2.580592469076015,5096,5.0
14,6,2.595301323908929,5096,5.0
14,7,2.625434897766239,5096,5.0
14,1,2.04862176637146,5096,5.25
14,2,2.048639910442678,5096,5.25
14,3,2.2113732089911027,5096,5.25
14,4,2.235221469343878,5096,5.25
14,5,2.589606356676165,5096,5.25
14,6,2.6007687817733034,5096,5.25
14,7,2.630117407747345,5096,5.25
14,1,2.05149604317887,5096,5.5
14,2,2.0515104865307663,5096,5.5
14,3,2.2185243867290128,5096,5.5
14,4,2.24070727363117,5096,5.5
14,5,2.5974473379892014,5096,5.5
14,6,2.6056576572594006,5096,5.5
14,7,2.6348709721654155,5096,5.5
14,1,2.054131482401589,5096,5.75
14,2,2.0541430525146143,5096,5.75
14,3,2.2251057854912273,5096,5.75
14,4,2.245732716476559,5096,5.75
14,5,2.60419745334977,5096,5.75
14,6,2.6100421602095807,5096,5.75
14,7,2.6397375452874465,5096,5.75
14,1,2.056556993276579,5096,6.0
14,2,2.056566288222006,5096,6.0
14,3,2.231180507638661,5096,6.0
14,4,2.2503515946119146,5096,6.0
14,5,2.609960831565701,5096,6.0
14,6,2.613986861712867,5096,6.0
14,7,2.644719621115696,5096,6.0
14,1,2.058796961120231,5096,6.25
14,2,2.058804420611647,5096,6.25
14,3,2.2368030173379587,5096,6.25
14,4,2.254609923132998,5096,6.25
14,5,2.614865000260892,5096,6.25
14,6,2.617547807856221,5096,6.25
14,7,2.6497817685703207,5096,6.25
14,1,2.060872107189837,5096,6.5
14,2,2.0608780597244523,5096,6.5
14,3,2.2420205075732493,5096,6.5
14,4,2.2585472402251843,5096,6.5
14,5,2.619048861196388,5096,6.5
14,6,2.620773507363531,5096,6.5
14,7,2.654864978136783,5096,6.5
14,1,2.062800157528838,5096,6.75
