,n_up,n_down,dimension,interaction_type,n_basis,lambda,coupling,G_up,G_dn,N,spectrum
0,3,1,1,bare,10,0.0,-5.55,0.0,0.0,0,-0.46003685894329993
1,3,1,1,bare,10,0.0,-5.55,0.0,0.0,1,0.5858091945851259
2,3,1,1,bare,10,0.0,-5.55,0.0,0.0,2,0.7707434617578314
3,3,1,1,bare,10,0.0,-5.55,0.0,0.0,3,1.6305769926729232
4,3,1,1,bare,10,0.0,-5.55,0.0,0.0,4,1.666608703614012
5,3,1,1,bare,10,0.0,-5.55,0.0,0.0,5,1.8269262540307087
6,3,1,1,bare,10,0.0,-5.55,0.0,0.0,6,2.0267369147897605
7,3,1,1,bare,10,0.0,-5.55,0.0,0.0,7,2.6668017816560754
8,3,1,1,bare,10,0.0,-5.55,0.0,0.0,8,2.709078539770921
9,3,1,1,bare,10,0.0,-5.55,0.0,0.0,9,2.864315028242645
10,3,1,1,bare,10,0.0,-5.55,0.0,0.0,10,2.900433853823833
11,3,1,1,bare,10,0.0,-5.55,0.0,0.0,11,3.043498015366906
12,3,1,1,bare,10,0.0,-5.55,0.0,0.0,12,3.2549182613059155
13,3,1,1,bare,10,0.0,-5.55,0.0,0.0,13,3.706955601205295
14,3,1,1,bare,10,0.0,-5.55,0.0,0.0,14,3.7415200958276706
15,3,1,1,bare,10,0.0,-5.05,0.0,0.0,0,0.10877315033005766
16,3,1,1,bare,10,0.0,-5.05,0.0,0.0,1,1.1498847445865406
17,3,1,1,bare,10,0.0,-5.05,0.0,0.0,2,1.3268831906391827
18,3,1,1,bare,10,0.0,-5.05,0.0,0.0,3,2.1916740208026515
19,3,1,1,bare,10,0.0,-5.05,0.0,0.0,4,2.2298094413265535
20,3,1,1,bare,10,0.0,-5.05,0.0,0.0,5,2.3784222874771195
21,3,1,1,bare,10,0.0,-5.05,0.0,0.0,6,2.56877904455786
22,3,1,1,bare,10,0.0,-5.05,0.0,0.0,7,3.2263833988153947
23,3,1,1,bare,10,0.0,-5.05,0.0,0.0,8,3.266734686809806
24,3,1,1,bare,10,0.0,-5.05,0.0,0.0,9,3.4111125430509808
25,3,1,1,bare,10,0.0,-5.05,0.0,0.0,10,3.4427008838151067
26,3,1,1,bare,10,0.0,-5.05,0.0,0.0,11,3.578046519160875
27,3,1,1,bare,10,0.0,-5.05,0.0,0.0,12,3.7636085108781816
28,3,1,1,bare,10,0.0,-5.05,0.0,0.0,13,4.266005131658722
29,3,1,1,bare,10,0.0,-5.05,0.0,0.0,14,4.296317462490006
30,3,1,1,bare,10,0.0,-4.55,0.0,0.0,0,0.6668132100085463
31,3,1,1,bare,10,0.0,-4.55,0.0,0.0,1,1.7028056494733557
32,3,1,1,bare,10,0.0,-4.55,0.0,0.0,2,1.8726615851755968
33,3,1,1,bare,10,0.0,-4.55,0.0,0.0,3,2.740520469543789
34,3,1,1,bare,10,0.0,-4.55,0.0,0.0,4,2.7822874219550466
35,3,1,1,bare,10,0.0,-4.55,0.0,0.0,5,2.9188517561478227
36,3,1,1,bare,10,0.0,-4.55,0.0,0.0,6,3.1023742622179427
37,3,1,1,bare,10,0.0,-4.55,0.0,0.0,7,3.772756955825619
38,3,1,1,bare,10,0.0,-4.55,0.0,0.0,8,3.8137201092730035
39,3,1,1,bare,10,0.0,-4.55,0.0,0.0,9,3.94564097643455
40,3,1,1,bare,10,0.0,-4.55,0.0,0.0,10,3.974338699706257
41,3,1,1,bare,10,0.0,-4.55,0.0,0.0,11,4.104847063624168
42,3,1,1,bare,10,0.0,-4.55,0.0,0.0,12,4.264253618534683
43,3,1,1,bare,10,0.0,-4.55,0.0,0.0,13,4.810826784220506
44,3,1,1,bare,10,0.0,-4.55,0.0,0.0,14,4.839984842847296
45,3,1,1,bare,10,0.0,-4.05,0.0,0.0,0,1.2129206310837104
46,3,1,1,bare,10,0.0,-4.05,0.0,0.0,1,2.243517935530605
47,3,1,1,bare,10,0.0,-4.05,0.0,0.0,2,2.406622810586087
48,3,1,1,bare,10,0.0,-4.05,0.0,0.0,3,3.2762839265853967
49,3,1,1,bare,10,0.0,-4.05,0.0,0.0,4,3.3225263601434394
50,3,1,1,bare,10,0.0,-4.05,0.0,0.0,5,3.4467213011694886
51,3,1,1,bare,10,0.0,-4.05,0.0,0.0,6,3.6258585070753453
52,3,1,1,bare,10,0.0,-4.05,0.0,0.0,7,4.3048937027085055
53,3,1,1,bare,10,0.0,-4.05,0.0,0.0,8,4.348922168657025
54,3,1,1,bare,10,0.0,-4.05,0.0,0.0,9,4.466710178577025
55,3,1,1,bare,10,0.0,-4.05,0.0,0.0,10,4.493452411584329
56,3,1,1,bare,10,0.0,-4.05,0.0,0.0,11,4.622334781163585
57,3,1,1,bare,10,0.0,-4.05,0.0,0.0,12,4.755383533662832
58,3,1,1,bare,10,0.0,-4.05,0.0,0.0,13,5.339508978278939
59,3,1,1,bare,10,0.0,-4.05,0.0,0.0,14,5.372210608990789
60,3,1,1,bare,10,0.0,-3.55,0.0,0.0,0,1.745789569751414
61,3,1,1,bare,10,0.0,-3.55,0.0,0.0,1,2.770866328010533
62,3,1,1,bare,10,0.0,-3.55,0.0,0.0,2,2.9270215509219804
63,3,1,1,bare,10,0.0,-3.55,0.0,0.0,3,3.7981329745200685
64,3,1,1,bare,10,0.0,-3.55,0.0,0.0,4,3.848748477939043
65,3,1,1,bare,10,0.0,-3.55,0.0,0.0,5,3.960408547296627
66,3,1,1,bare,10,0.0,-3.55,0.0,0.0,6,4.136938491120725
67,3,1,1,bare,10,0.0,-3.55,0.0,0.0,7,4.822203497063073
68,3,1,1,bare,10,0.0,-3.55,0.0,0.0,8,4.870587440293258
69,3,1,1,bare,10,0.0,-3.55,0.0,0.0,9,4.973182063854525
70,3,1,1,bare,10,0.0,-3.55,0.0,0.0,10,4.998150344429477
71,3,1,1,bare,10,0.0,-3.55,0.0,0.0,11,5.1279353730079835
72,3,1,1,bare,10,0.0,-3.55,0.0,0.0,12,5.235177403534465
73,3,1,1,bare,10,0.0,-3.55,0.0,0.0,13,5.851691692633467
74,3,1,1,bare,10,0.0,-3.55,0.0,0.0,14,5.891193731816784
75,3,1,1,bare,10,0.0,-3.05,0.0,0.0,0,2.263957727893108
76,3,1,1,bare,10,0.0,-3.05,0.0,0.0,1,3.2835748475556397
77,3,1,1,bare,10,0.0,-3.05,0.0,0.0,2,3.4317774002658945
78,3,1,1,bare,10,0.0,-3.05,0.0,0.0,3,4.305137520918739
79,3,1,1,bare,10,0.0,-3.05,0.0,0.0,4,4.35897864969897
80,3,1,1,bare,10,0.0,-3.05,0.0,0.0,5,4.458123793662345
81,3,1,1,bare,10,0.0,-3.05,0.0,0.0,6,4.632531343911458
82,3,1,1,bare,10,0.0,-3.05,0.0,0.0,7,5.324215986529974
83,3,1,1,bare,10,0.0,-3.05,0.0,0.0,8,5.376581295542234
84,3,1,1,bare,10,0.0,-3.05,0.0,0.0,9,5.4636558462807745
85,3,1,1,bare,10,0.0,-3.05,0.0,0.0,10,5.486853206320246
86,3,1,1,bare,10,0.0,-3.05,0.0,0.0,11,5.617815846513725
87,3,1,1,bare,10,0.0,-3.05,0.0,0.0,12,5.701489772643697
88,3,1,1,bare,10,0.0,-3.05,0.0,0.0,13,6.347764194307416
89,3,1,1,bare,10,0.0,-3.05,0.0,0.0,14,6.394296919732048
90,3,1,1,bare,10,0.0,-2.55,0.0,0.0,0,2.765796376599337
91,3,1,1,bare,10,0.0,-2.55,0.0,0.0,1,3.7802264024167394
92,3,1,1,bare,10,0.0,-2.55,0.0,0.0,2,3.918430354467209
93,3,1,1,bare,10,0.0,-2.55,0.0,0.0,3,4.796215070063333
94,3,1,1,bare,10,0.0,-2.55,0.0,0.0,4,4.851084719797298
95,3,1,1,bare,10,0.0,-2.55,0.0,0.0,5,4.937822020721445
96,3,1,1,bare,10,0.0,-2.55,0.0,0.0,6,5.108592103994525
97,3,1,1,bare,10,0.0,-2.55,0.0,0.0,7,5.810307084993489
98,3,1,1,bare,10,0.0,-2.55,0.0,0.0,8,5.864635537424414
99,3,1,1,bare,10,0.0,-2.55,0.0,0.0,9,5.936392539997618
100,3,1,1,bare,10,0.0,-2.55,0.0,0.0,10,5.9581047751143625
101,3,1,1,bare,10,0.0,-2.55,0.0,0.0,11,6.086795059016331
102,3,1,1,bare,10,0.0,-2.55,0.0,0.0,12,6.151954815030167
103,3,1,1,bare,10,0.0,-2.55,0.0,0.0,13,6.827827046214627
104,3,1,1,bare,10,0.0,-2.55,0.0,0.0,14,6.878983804092325
